id,height,weight,capture_rate,generation,habitat,shape,stats_hp,stats_attack,stats_defense,stats_special-attack,stats_special-defense,stats_speed,ability_1,ability_2,ability_3,name,type_1,type_2
1,7,69,45,generation-i,grassland,quadruped,45,49,49,65,65,45,overgrow,chlorophyll,,bulbasaur,grass,poison
2,10,130,45,generation-i,grassland,quadruped,60,62,63,80,80,60,overgrow,chlorophyll,,ivysaur,grass,poison
3,20,1000,45,generation-i,grassland,quadruped,80,82,83,100,100,80,overgrow,chlorophyll,,venusaur,grass,poison
4,6,85,45,generation-i,mountain,upright,39,52,43,60,50,65,blaze,solar-power,,charmander,fire,
5,11,190,45,generation-i,mountain,upright,58,64,58,80,65,80,blaze,solar-power,,charmeleon,fire,
6,17,905,45,generation-i,mountain,upright,78,84,78,109,85,100,blaze,solar-power,,charizard,fire,flying
7,5,90,45,generation-i,waters-edge,upright,44,48,65,50,64,43,torrent,rain-dish,,squirtle,water,
8,10,225,45,generation-i,waters-edge,upright,59,63,80,65,80,58,torrent,rain-dish,,wartortle,water,
9,16,855,45,generation-i,waters-edge,upright,79,83,100,85,105,78,torrent,rain-dish,,blastoise,water,
10,3,29,255,generation-i,forest,armor,45,30,35,20,20,45,shield-dust,run-away,,caterpie,bug,
11,7,99,120,generation-i,forest,squiggle,50,20,55,25,25,30,shed-skin,,,metapod,bug,
12,11,320,45,generation-i,forest,bug-wings,60,45,50,90,80,70,compound-eyes,tinted-lens,,butterfree,bug,flying
13,3,32,255,generation-i,forest,armor,40,35,30,20,20,50,shield-dust,run-away,,weedle,bug,poison
14,6,100,120,generation-i,forest,squiggle,45,25,50,25,25,35,shed-skin,,,kakuna,bug,poison
15,10,295,45,generation-i,forest,bug-wings,65,90,40,45,80,75,swarm,sniper,,beedrill,bug,poison
16,3,18,255,generation-i,forest,wings,40,45,40,35,35,56,keen-eye,tangled-feet,big-pecks,pidgey,normal,flying
17,11,300,120,generation-i,forest,wings,63,60,55,50,50,71,keen-eye,tangled-feet,big-pecks,pidgeotto,normal,flying
18,15,395,45,generation-i,forest,wings,83,80,75,70,70,101,keen-eye,tangled-feet,big-pecks,pidgeot,normal,flying
19,3,35,255,generation-i,grassland,quadruped,30,56,35,25,35,72,run-away,guts,hustle,rattata,normal,
20,7,185,127,generation-i,grassland,quadruped,55,81,60,50,70,97,run-away,guts,hustle,raticate,normal,
21,3,20,255,generation-i,rough-terrain,wings,40,60,30,31,31,70,keen-eye,sniper,,spearow,normal,flying
22,12,380,90,generation-i,rough-terrain,wings,65,90,65,61,61,100,keen-eye,sniper,,fearow,normal,flying
23,20,69,255,generation-i,grassland,squiggle,35,60,44,40,54,55,intimidate,shed-skin,unnerve,ekans,poison,
24,35,650,90,generation-i,grassland,squiggle,60,95,69,65,79,80,intimidate,shed-skin,unnerve,arbok,poison,
25,4,60,190,generation-i,forest,quadruped,35,55,40,50,50,90,static,lightning-rod,,pikachu,electric,
26,8,300,75,generation-i,forest,upright,60,90,55,90,80,110,static,lightning-rod,,raichu,electric,
27,6,120,255,generation-i,rough-terrain,upright,50,75,85,20,30,40,sand-veil,sand-rush,,sandshrew,ground,
28,10,295,90,generation-i,rough-terrain,upright,75,100,110,45,55,65,sand-veil,sand-rush,,sandslash,ground,
29,4,70,235,generation-i,grassland,quadruped,55,47,52,40,40,41,poison-point,rivalry,hustle,nidoran-f,poison,
30,8,200,120,generation-i,grassland,quadruped,70,62,67,55,55,56,poison-point,rivalry,hustle,nidorina,poison,
31,13,600,45,generation-i,grassland,upright,90,92,87,75,85,76,poison-point,rivalry,sheer-force,nidoqueen,poison,ground
32,5,90,235,generation-i,grassland,quadruped,46,57,40,40,40,50,poison-point,rivalry,hustle,nidoran-m,poison,
33,9,195,120,generation-i,grassland,quadruped,61,72,57,55,55,65,poison-point,rivalry,hustle,nidorino,poison,
34,14,620,45,generation-i,grassland,upright,81,102,77,85,75,85,poison-point,rivalry,sheer-force,nidoking,poison,ground
35,6,75,150,generation-i,mountain,upright,70,45,48,60,65,35,cute-charm,magic-guard,friend-guard,clefairy,fairy,
36,13,400,25,generation-i,mountain,upright,95,70,73,95,90,60,cute-charm,magic-guard,unaware,clefable,fairy,
37,6,99,190,generation-i,grassland,quadruped,38,41,40,50,65,65,flash-fire,drought,,vulpix,fire,
38,11,199,75,generation-i,grassland,quadruped,73,76,75,81,100,100,flash-fire,drought,,ninetales,fire,
39,5,55,170,generation-i,grassland,humanoid,115,45,20,45,25,20,cute-charm,competitive,friend-guard,jigglypuff,normal,fairy
40,10,120,50,generation-i,grassland,humanoid,140,70,45,85,50,45,cute-charm,competitive,frisk,wigglytuff,normal,fairy
41,8,75,255,generation-i,cave,wings,40,45,35,30,40,55,inner-focus,infiltrator,,zubat,poison,flying
42,16,550,90,generation-i,cave,wings,75,80,70,65,75,90,inner-focus,infiltrator,,golbat,poison,flying
43,5,54,255,generation-i,grassland,legs,45,50,55,75,65,30,chlorophyll,run-away,,oddish,grass,poison
44,8,86,120,generation-i,grassland,humanoid,60,65,70,85,75,40,chlorophyll,stench,,gloom,grass,poison
45,12,186,45,generation-i,grassland,humanoid,75,80,85,110,90,50,chlorophyll,effect-spore,,vileplume,grass,poison
46,3,54,190,generation-i,forest,armor,35,70,55,45,55,25,effect-spore,dry-skin,damp,paras,bug,grass
47,10,295,75,generation-i,forest,armor,60,95,80,60,80,30,effect-spore,dry-skin,damp,parasect,bug,grass
48,10,300,190,generation-i,forest,humanoid,60,55,50,40,55,45,compound-eyes,tinted-lens,run-away,venonat,bug,poison
49,15,125,75,generation-i,forest,bug-wings,70,65,60,90,75,90,shield-dust,tinted-lens,wonder-skin,venomoth,bug,poison
50,2,8,255,generation-i,cave,blob,10,55,25,35,45,95,sand-veil,arena-trap,sand-force,diglett,ground,
51,7,333,50,generation-i,cave,heads,35,100,50,50,70,120,sand-veil,arena-trap,sand-force,dugtrio,ground,
52,4,42,255,generation-i,urban,quadruped,40,45,35,40,40,90,pickup,technician,unnerve,meowth,normal,
53,10,320,90,generation-i,urban,quadruped,65,70,60,65,65,115,limber,technician,unnerve,persian,normal,
54,8,196,190,generation-i,waters-edge,upright,50,52,48,65,50,55,damp,cloud-nine,swift-swim,psyduck,water,
55,17,766,75,generation-i,waters-edge,upright,80,82,78,95,80,85,damp,cloud-nine,swift-swim,golduck,water,
56,5,280,190,generation-i,mountain,upright,40,80,35,35,45,70,vital-spirit,anger-point,defiant,mankey,fighting,
57,10,320,75,generation-i,mountain,upright,65,105,60,60,70,95,vital-spirit,anger-point,defiant,primeape,fighting,
58,7,190,190,generation-i,grassland,quadruped,55,70,45,70,50,60,intimidate,flash-fire,justified,growlithe,fire,
59,19,1550,75,generation-i,grassland,quadruped,90,110,80,100,80,95,intimidate,flash-fire,justified,arcanine,fire,
60,6,124,255,generation-i,waters-edge,legs,40,50,40,40,40,90,water-absorb,damp,swift-swim,poliwag,water,
61,10,200,120,generation-i,waters-edge,humanoid,65,65,65,50,50,90,water-absorb,damp,swift-swim,poliwhirl,water,
62,13,540,45,generation-i,waters-edge,humanoid,90,95,95,70,90,70,water-absorb,damp,swift-swim,poliwrath,water,fighting
63,9,195,200,generation-i,urban,upright,25,20,15,105,55,90,synchronize,inner-focus,magic-guard,abra,psychic,
64,13,565,100,generation-i,urban,upright,40,35,30,120,70,105,synchronize,inner-focus,magic-guard,kadabra,psychic,
65,15,480,50,generation-i,urban,humanoid,55,50,45,135,95,120,synchronize,inner-focus,magic-guard,alakazam,psychic,
66,8,195,180,generation-i,mountain,upright,70,80,50,35,35,35,guts,no-guard,steadfast,machop,fighting,
67,15,705,90,generation-i,mountain,humanoid,80,100,70,50,60,45,guts,no-guard,steadfast,machoke,fighting,
68,16,1300,45,generation-i,mountain,humanoid,90,130,80,65,85,55,guts,no-guard,steadfast,machamp,fighting,
69,7,40,255,generation-i,forest,humanoid,50,75,35,70,30,40,chlorophyll,gluttony,,bellsprout,grass,poison
70,10,64,120,generation-i,forest,blob,65,90,50,85,45,55,chlorophyll,gluttony,,weepinbell,grass,poison
71,17,155,45,generation-i,forest,blob,80,105,65,100,70,70,chlorophyll,gluttony,,victreebel,grass,poison
72,9,455,190,generation-i,sea,tentacles,40,40,35,50,100,70,clear-body,liquid-ooze,rain-dish,tentacool,water,poison
73,16,550,60,generation-i,sea,tentacles,80,70,65,80,120,100,clear-body,liquid-ooze,rain-dish,tentacruel,water,poison
74,4,200,255,generation-i,mountain,arms,40,80,100,30,30,20,rock-head,sturdy,sand-veil,geodude,rock,ground
75,10,1050,120,generation-i,mountain,humanoid,55,95,115,45,45,35,rock-head,sturdy,sand-veil,graveler,rock,ground
76,14,3000,45,generation-i,mountain,humanoid,80,120,130,55,65,45,rock-head,sturdy,sand-veil,golem,rock,ground
77,10,300,190,generation-i,grassland,quadruped,50,85,55,65,65,90,run-away,flash-fire,flame-body,ponyta,fire,
78,17,950,60,generation-i,grassland,quadruped,65,100,70,80,80,105,run-away,flash-fire,flame-body,rapidash,fire,
79,12,360,190,generation-i,waters-edge,quadruped,90,65,65,40,40,15,oblivious,own-tempo,regenerator,slowpoke,water,psychic
80,16,785,75,generation-i,waters-edge,upright,95,75,110,100,80,30,oblivious,own-tempo,regenerator,slowbro,water,psychic
81,3,60,190,generation-i,rough-terrain,arms,25,35,70,95,55,45,magnet-pull,sturdy,analytic,magnemite,electric,steel
